date posted (GMT),title,address,distance (km),price,post_url
"August 14, 2017 9:46 PM",55 COLUMBIA GREAT LOCATION TO BOTH UNIVERSITIES,"55 Columbia St W, Waterloo, ON N2L 3K4, Canada",1.401,$500.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/55-columbia-great-location-to-both-universities/1289526659"">link</a>"
"September 4, 2017 4:34 AM",Room for rent near Wilfrid Laurier University,"Waterloo, ON N2J2S2",1.925,$500.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/room-for-rent-near-wilfrid-laurier-university/1294817042"">link</a>"
"August 25, 2017 11:26 AM",STUDENT ROOMS  * 1 FREE MONTH * FREE UTILITIES * 303 WESTCOURT,"303 Westcourt Pl, Waterloo, ON, N2L 6P5",0.804,$550.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/student-rooms-1-free-month-free-utilities-303-westcourt/1262447618"">link</a>"
"September 8, 2017 11:29 AM",LARGE STUDENT ROOM  * 1 MONTH FREE * FURNISHED * 64 CARDILL CRES,"64 Cardill Crescent, Waterloo, ON, N2L 3Y8",1.415,$565.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/large-student-room-1-month-free-furnished-64-cardill-cres/1223871060"">link</a>"
"August 11, 2017 2:49 AM",STUDENT ROOM FOR RENT STARTING  1st OF SEPTEMBER 2017,"372 Churchill Ct, Waterloo, ON N2L 6B4, Canada",1.777,$380.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/student-room-for-rent-starting-1st-of-september-2017/1288570943"">link</a>"
"August 10, 2017 11:58 PM","ROOMMATE WANTED: Sublet, Furnished 2 bdr apt,. King & Regina","300 Regina St N, Waterloo, ON N2J 3C1, Canada",1.705,$650.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/roommate-wanted:-sublet-furnished-2-bdr-apt-king-regina/1288537639"">link</a>"
"September 6, 2017 8:15 PM",3 Bedroom Lower Unit - Albert/Columbia,"Waterloo, ON N2L3Y8",1.432,"$1,300.00","<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/3-bedroom-lower-unit-albert-columbia/1295583744"">link</a>"
"August 10, 2017 3:23 PM",One Month Free! Room Rentals Fall 2017,"271 Lester St, Waterloo, ON N2L 3W6, Canada",0.706,$670.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/one-month-free-room-rentals-fall-2017/1288398621"">link</a>"
"September 1, 2017 11:07 AM","Room available, Sunnydale Place Waterloo","511 Sunnydale Pl, Waterloo, ON N2L 4S8, Canada",2.024,$425.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/room-available-sunnydale-place-waterloo/1294080505"">link</a>"
"September 8, 2017 4:32 PM",Inclusive in a Great House VERY close to Universities !,"122 Columbia St W, Waterloo, ON N2L 3W6, Canada",0.989,Please Contact,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/inclusive-in-a-great-house-very-close-to-universities/1296053829"">link</a>"
"August 23, 2017 3:58 PM",Student Rental - in Waterloo,"40 High St, Waterloo, ON N2L 3X8, Canada",1.565,$500.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/student-rental-in-waterloo/1291822194"">link</a>"
"September 4, 2017 4:42 AM",Urgent : a single room spacious available for a student,"Waterloo, ON N2L6G9",0.592,$489.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/urgent-:-a-single-room-spacious-available-for-a-student/1294798286"">link</a>"
"August 24, 2017 8:29 PM","1 room available for Fall, Sept-Apr 2018!","549 Havelock Dr, Waterloo, ON N2L 4Z1, Canada",2.811,$550.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/1-room-available-for-fall-sept-apr-2018/1259123361"">link</a>"
"September 6, 2017 3:19 PM",basement for rent in waterloo all inclusive,"Waterloo, ON N2J4Z7",2.781,$800.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/basement-for-rent-in-waterloo-all-inclusive/1295494763"">link</a>"
"August 30, 2017 11:27 PM",Conestoga Commons room sublet (females only),"Kitchener, ON N2L3H5",1.391,$505.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/conestoga-commons-room-sublet-females-only/1293765724"">link</a>"
"September 5, 2017 10:03 PM",2 M O N T H S F R E E @ 316 KING,"316 King, Waterloo, ON, N2J 2Z2",1.646,$595.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/2-m-o-n-t-h-s-f-r-e-e-316-king/1285850281"">link</a>"
"August 24, 2017 12:58 PM","1 room for rent near UW and WLU, 1 year rental","Waterloo, ON N2L3R8",1.166,$500.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/1-room-for-rent-near-uw-and-wlu-1-year-rental/1292038143"">link</a>"
"September 7, 2017 12:06 AM",Urgent: Lease takeover: 268 Phillips St.,"268 Phillip St, Waterloo, ON N2L 6G9, Canada",0.603,$505.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/urgent:-lease-takeover:-268-phillips-st/1295643837"">link</a>"
